users,status,generate_rps,generate_avg_ms,generate_p95_ms,generate_fail_ratio,total_rps
1,ok,1.1635994472684357,272.81874176440647,330.0,0.0,1.3482089749600625
5,ok,4.269664612951873,495.25126346012905,910.0,0.0,5.129178796474211
10,ok,4.6057551993214805,1258.0105275866676,2000.0,0.0,5.638560910684479
20,ok,4.614279392315032,2931.8227775546284,3800.0,0.0,5.549454948767229
